_id,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
"438,2026-03-01,UTE,3031,""46633746,16"",11,2024"
"439,2026-03-01,UTN,2,""1990000,00"",11,2024"
"440,2026-03-01,EOL,1104,""32822353,86"",12,2024"
"441,2026-03-01,CGH,676,""852523,88"",12,2024"
"442,2026-03-01,UFV,18506,""17478306,94"",12,2024"
"443,2026-03-01,PCH,430,""5844038,57"",12,2024"
"444,2026-03-01,UHE,214,""103196493,00"",12,2024"
"445,2026-03-01,UTE,3031,""46641492,16"",12,2024"
"446,2026-03-01,UTN,2,""1990000,00"",12,2024"
"447,2026-03-01,EOL,1030,""29515523,86"",2 ,2024"
"448,2026-03-01,CGH,689,""863732,26"",2 ,2024"
"449,2026-03-01,UFV,18241,""12298798,94"",2 ,2024"
"450,2026-03-01,PCH,428,""5802906,57"",2 ,2024"
"451,2026-03-01,UHE,215,""103197797,00"",2 ,2024"
"452,2026-03-01,UTE,3035,""46239047,31"",2 ,2024"
"453,2026-03-01,UTN,2,""1990000,00"",2 ,2024"
"454,2026-03-01,EOL,1054,""30666553,86"",5 ,2024"
"455,2026-03-01,CGH,683,""849546,88"",5 ,2024"
"456,2026-03-01,UFV,18303,""13975742,57"",5 ,2024"
"457,2026-03-01,PCH,430,""5822656,57"",5 ,2024"
"458,2026-03-01,UHE,214,""103213069,00"",5 ,2024"
"459,2026-03-01,UTE,3021,""46212744,31"",5 ,2024"
"460,2026-03-01,UTN,2,""1990000,00"",5 ,2024"
"461,2026-03-01,EOL,1077,""31733053,86"",8 ,2024"
"462,2026-03-01,CGH,682,""855105,88"",8 ,2024"
"463,2026-03-01,UFV,18346,""15088754,72"",8 ,2024"
"464,2026-03-01,PCH,428,""5829956,57"",8 ,2024"
"465,2026-03-01,UHE,214,""103196493,00"",8 ,2024"
"466,2026-03-01,UTE,3024,""46109738,16"",8 ,2024"
"467,2026-03-01,UTN,2,""1990000,00"",8 ,2024"
"468,2026-03-01,EOL,1136,""34707153,86"",12,2025"
"469,2026-03-01,CGH,703,""908822,04"",12,2025"
"470,2026-03-01,UFV,18689,""20050696,57"",12,2025"
"471,2026-03-01,PCH,429,""6017129,57"",12,2025"
"472,2026-03-01,UHE,215,""103235221,00"",12,2025"
"473,2026-03-01,UTE,3042,""49026907,36"",12,2025"
"474,2026-03-01,UTN,2,""1990000,00"",12,2025"
"475,2026-03-01,EOL,1111,""33226453,86"",3 ,2025"
"476,2026-03-01,CGH,689,""873306,04"",3 ,2025"
"477,2026-03-01,UFV,18546,""17662506,89"",3 ,2025"
"478,2026-03-01,PCH,427,""5894594,17"",3 ,2025"
"479,2026-03-01,UHE,214,""103196493,00"",3 ,2025"
"480,2026-03-01,UTE,3026,""47061611,36"",3 ,2025"
"481,2026-03-01,UTN,2,""1990000,00"",3 ,2025"
"482,2026-03-01,EOL,1121,""33748653,86"",6 ,2025"
"483,2026-03-01,CGH,697,""894524,53"",6 ,2025"
"484,2026-03-01,UFV,18586,""17900866,57"",6 ,2025"
"485,2026-03-01,PCH,426,""5922039,57"",6 ,2025"
"486,2026-03-01,UHE,214,""103185223,00"",6 ,2025"
"487,2026-03-01,UTE,3033,""48885315,36"",6 ,2025"
"488,2026-03-01,UTN,2,""1990000,00"",6 ,2025"
"489,2026-03-01,EOL,1132,""34347153,86"",9 ,2025"
"490,2026-03-01,CGH,702,""901176,53"",9 ,2025"
"491,2026-03-01,UFV,18630,""18898471,57"",9 ,2025"
"492,2026-03-01,PCH,429,""5994639,57"",9 ,2025"
"493,2026-03-01,UHE,215,""103235221,00"",9 ,2025"
"494,2026-03-01,UTE,3034,""49357101,36"",9 ,2025"
"495,2026-03-01,UTN,2,""1990000,00"",9 ,2025"
