_id,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
"105,2026-03-01,UTN,2,""2007000,00"",9 ,2012"
"106,2026-03-01,UTN,2,""1990000,00"",12,2013"
"107,2026-03-01,UTE,1823,""36538774,00"",12,2013"
"108,2026-03-01,UHE,195,""81092804,00"",12,2013"
"109,2026-03-01,UFV,45,""4922,00"",12,2013"
"110,2026-03-01,PCH,480,""4656391,00"",12,2013"
"111,2026-03-01,CGH,444,""269996,00"",12,2013"
"112,2026-03-01,EOL,108,""2201772,00"",12,2013"
"113,2026-03-01,EOL,92,""2044538,00"",3 ,2013"
"114,2026-03-01,CGH,405,""240364,00"",3 ,2013"
"115,2026-03-01,PCH,440,""4315464,00"",3 ,2013"
"116,2026-03-01,UFV,13,""7586,00"",3 ,2013"
"117,2026-03-01,UTE,1647,""34339592,00"",3 ,2013"
"118,2026-03-01,UHE,205,""80134573,00"",3 ,2013"
"119,2026-03-01,UTN,2,""2007000,00"",3 ,2013"
"120,2026-03-01,UTN,2,""1990000,00"",6 ,2013"
"121,2026-03-01,UTE,1724,""34861415,00"",6 ,2013"
"122,2026-03-01,UHE,191,""80207481,00"",6 ,2013"
"123,2026-03-01,UFV,14,""2617,00"",6 ,2013"
"124,2026-03-01,PCH,456,""4441066,00"",6 ,2013"
"125,2026-03-01,EOL,95,""2092541,00"",6 ,2013"
"126,2026-03-01,CGH,420,""255596,00"",6 ,2013"
"127,2026-03-01,CGH,421,""256047,00"",9 ,2013"
"128,2026-03-01,EOL,97,""2109364,00"",9 ,2013"
"129,2026-03-01,UFV,32,""2762,00"",9 ,2013"
"130,2026-03-01,PCH,462,""4569748,00"",9 ,2013"
"131,2026-03-01,UHE,194,""80731224,00"",9 ,2013"
"132,2026-03-01,UTE,1754,""35220252,00"",9 ,2013"
"133,2026-03-01,UTN,2,""1990000,00"",9 ,2013"
"134,2026-03-01,UTN,2,""1990000,00"",12,2014"
"135,2026-03-01,UTE,1886,""37606369,00"",12,2014"
"136,2026-03-01,UHE,201,""84094838,00"",12,2014"
"137,2026-03-01,UFV,310,""15080,00"",12,2014"
"138,2026-03-01,PCH,471,""4738176,00"",12,2014"
"139,2026-03-01,EOL,228,""4887689,00"",12,2014"
"140,2026-03-01,CGH,486,""303320,00"",12,2014"
"141,2026-03-01,EOL,117,""2441176,00"",3 ,2014"
"142,2026-03-01,CGH,449,""275195,00"",3 ,2014"
"143,2026-03-01,PCH,477,""4669842,00"",3 ,2014"
"144,2026-03-01,UFV,87,""6209,00"",3 ,2014"
"145,2026-03-01,UTE,1824,""36756810,00"",3 ,2014"
"146,2026-03-01,UHE,196,""81801323,00"",3 ,2014"
"147,2026-03-01,UTN,2,""1990000,00"",3 ,2014"
"148,2026-03-01,UTN,2,""1990000,00"",6 ,2014"
"149,2026-03-01,UTE,1855,""36936999,00"",6 ,2014"
"150,2026-03-01,UHE,197,""82205278,00"",6 ,2014"
"151,2026-03-01,UFV,130,""9940,00"",6 ,2014"
"152,2026-03-01,PCH,463,""4640031,00"",6 ,2014"
"153,2026-03-01,EOL,151,""3106190,00"",6 ,2014"
"154,2026-03-01,CGH,451,""277679,00"",6 ,2014"
"155,2026-03-01,CGH,473,""292933,00"",9 ,2014"
"156,2026-03-01,EOL,183,""3840138,00"",9 ,2014"
"157,2026-03-01,UFV,180,""15312,00"",9 ,2014"
"158,2026-03-01,PCH,470,""4689552,00"",9 ,2014"
"159,2026-03-01,UHE,198,""82987658,00"",9 ,2014"
"160,2026-03-01,UTE,1871,""37477187,00"",9 ,2014"
"161,2026-03-01,UTN,2,""1990000,00"",9 ,2014"
"162,2026-03-01,UTN,2,""1990000,00"",12,2015"
"163,2026-03-01,UTE,2853,""39392797,00"",12,2015"
"164,2026-03-01,UHE,197,""86002478,00"",12,2015"
"165,2026-03-01,UFV,33,""21336,00"",12,2015"
"166,2026-03-01,PCH,466,""4840273,00"",12,2015"
"167,2026-03-01,CGH,538,""395026,00"",12,2015"
"168,2026-03-01,EOL,316,""7629732,00"",12,2015"
"169,2026-03-01,EOL,265,""5832549,00"",3 ,2015"
"170,2026-03-01,CGH,496,""326213,00"",3 ,2015"
"171,2026-03-01,PCH,476,""4783058,00"",3 ,2015"
"172,2026-03-01,UFV,317,""15179,00"",3 ,2015"
"173,2026-03-01,UTE,2291,""38372240,00"",3 ,2015"
"174,2026-03-01,UHE,201,""84703838,00"",3 ,2015"
"175,2026-03-01,UTN,2,""1990000,00"",3 ,2015"
"176,2026-03-01,UTN,2,""1990000,00"",6 ,2015"
"177,2026-03-01,UTE,2709,""39394439,00"",6 ,2015"
"178,2026-03-01,UHE,197,""85127318,00"",6 ,2015"
"179,2026-03-01,UFV,23,""11233,00"",6 ,2015"
"180,2026-03-01,PCH,471,""4821940,00"",6 ,2015"
"181,2026-03-01,EOL,264,""6428397,00"",6 ,2015"
"182,2026-03-01,CGH,511,""349845,00"",6 ,2015"
"183,2026-03-01,CGH,525,""370609,00"",9 ,2015"
"184,2026-03-01,EOL,273,""6629397,00"",9 ,2015"
"185,2026-03-01,UFV,25,""21233,00"",9 ,2015"
"186,2026-03-01,PCH,466,""4816945,00"",9 ,2015"
"187,2026-03-01,UHE,198,""85278663,00"",9 ,2015"
"188,2026-03-01,UTE,2807,""39693189,00"",9 ,2015"
"189,2026-03-01,UTN,2,""1990000,00"",9 ,2015"
"190,2026-03-01,UTN,2,""1990000,00"",12,2016"
"191,2026-03-01,UTE,2947,""41099708,61"",12,2016"
"192,2026-03-01,UHE,219,""91499178,33"",12,2016"
"193,2026-03-01,UFV,42,""23008,42"",12,2016"
"194,2026-03-01,PCH,441,""4918966,57"",12,2016"
"195,2026-03-01,EOL,413,""10123942,22"",12,2016"
"196,2026-03-01,CGH,581,""480933,33"",12,2016"
"197,2026-03-01,EOL,349,""8488082,00"",3 ,2016"
"198,2026-03-01,CGH,553,""426059,00"",3 ,2016"
"199,2026-03-01,PCH,457,""4825445,00"",3 ,2016"
"200,2026-03-01,UFV,38,""22933,00"",3 ,2016"
"201,2026-03-01,UTE,2884,""39520104,00"",3 ,2016"
"202,2026-03-01,UHE,203,""86992668,00"",3 ,2016"
"203,2026-03-01,UTN,2,""1990000,00"",3 ,2016"
"204,2026-03-01,UTN,2,""1990000,00"",6 ,2016"
"205,2026-03-01,UTE,2896,""40127478,56"",6 ,2016"
"206,2026-03-01,UHE,218,""88350604,00"",6 ,2016"
"207,2026-03-01,UFV,39,""22951,52"",6 ,2016"
"208,2026-03-01,PCH,448,""4816929,47"",6 ,2016"
"209,2026-03-01,EOL,370,""9022700,22"",6 ,2016"
"210,2026-03-01,CGH,554,""427331,52"",6 ,2016"
"211,2026-03-01,CGH,565,""450392,25"",9 ,2016"
"212,2026-03-01,EOL,389,""9506960,22"",9 ,2016"
"213,2026-03-01,UFV,42,""23008,42"",9 ,2016"
"214,2026-03-01,PCH,446,""4848790,47"",9 ,2016"
"215,2026-03-01,UHE,220,""90465984,11"",9 ,2016"
"216,2026-03-01,UTE,2923,""40660601,96"",9 ,2016"
"217,2026-03-01,UTN,2,""1990000,00"",9 ,2016"
"218,2026-03-01,EOL,501,""12283243,00"",12,2017"
"219,2026-03-01,CGH,658,""593780,70"",12,2017"
"220,2026-03-01,UFV,81,""935325,00"",12,2017"
"221,2026-03-01,PCH,432,""5019574,77"",12,2017"
"222,2026-03-01,UHE,221,""94661994,66"",12,2017"
"223,2026-03-01,UTE,3012,""41628208,00"",12,2017"
"224,2026-03-01,UTN,2,""1990000,00"",12,2017"
"225,2026-03-01,CGU,1,""50,00"",12,2017"
"226,2026-03-01,UTN,2,""1990000,00"",3 ,2017"
"227,2026-03-01,UTE,2952,""41119491,61"",3 ,2017"
"228,2026-03-01,UHE,219,""92605229,33"",3 ,2017"
"229,2026-03-01,UFV,44,""23760,67"",3 ,2017"
"230,2026-03-01,PCH,436,""4952202,57"",3 ,2017"
